Location,Count,Max,Timestamp
Nick Level 1 Fitness,34,150,2024-02-06 09:55:43
Nick Level 2 Fitness,36,100,2024-02-06 09:55:43
Nick Level 3 Fitness,78,200,2024-02-06 09:55:43
Nick Power House,35,140,2024-02-06 09:55:43
Nick Track,19,100,2024-02-06 09:55:43
Soderholm Family Aquatic Center,,,2024-02-06 09:55:43
Nick Courts 1 & 2,0,250,2024-02-06 09:55:43
Nick Courts 3-6,2,500,2024-02-06 09:55:43
Nick Courts 7 & 8,2,250,2024-02-06 09:55:43
Level 1 Fitness,28,130,2024-02-06 09:56:02
Level 2 Fitness,10,65,2024-02-06 09:56:02
Level 3 Fitness,38,246,2024-02-06 09:56:02
Level 4 Fitness,10,75,2024-02-06 09:56:02
Bakke Track,5,100,2024-02-06 09:56:02
Courts 1&2,,,2024-02-06 09:56:02
Courts 3&4,0,250,2024-02-06 09:56:02
Courts 5-8,2,500,2024-02-06 09:56:02
Orbit,7,46,2024-02-06 09:56:02
Willow Room,0,27,2024-02-06 09:56:02
Cove Pool,,,2024-02-06 09:56:02
Mount Mendota,,,2024-02-06 09:56:02
Skybox Suites,2,18,2024-02-06 09:56:02
SubZero Ice Center,1,300,2024-02-06 09:56:02
Nick Level 1 Fitness,34,150,2024-02-06 10:16:16
Nick Level 2 Fitness,36,100,2024-02-06 10:16:16
Nick Level 3 Fitness,78,200,2024-02-06 10:16:16
Nick Power House,35,140,2024-02-06 10:16:16
Nick Track,19,100,2024-02-06 10:16:16
Soderholm Family Aquatic Center,,,2024-02-06 10:16:16
Nick Courts 1 & 2,0,250,2024-02-06 10:16:16
Nick Courts 3-6,2,500,2024-02-06 10:16:16
Nick Courts 7 & 8,2,250,2024-02-06 10:16:16
Level 1 Fitness,28,130,2024-02-06 10:16:30
Level 2 Fitness,10,65,2024-02-06 10:16:30
Level 3 Fitness,38,246,2024-02-06 10:16:30
Level 4 Fitness,10,75,2024-02-06 10:16:30
Bakke Track,5,100,2024-02-06 10:16:30
Courts 1&2,,,2024-02-06 10:16:30
Courts 3&4,0,250,2024-02-06 10:16:30
Courts 5-8,2,500,2024-02-06 10:16:30
Orbit,7,46,2024-02-06 10:16:30
Willow Room,0,27,2024-02-06 10:16:30
Cove Pool,,,2024-02-06 10:16:30
Mount Mendota,,,2024-02-06 10:16:30
Skybox Suites,2,18,2024-02-06 10:16:30
SubZero Ice Center,1,300,2024-02-06 10:16:30
Nick Level 1 Fitness,34,150,2024-02-06 10:36:43
Nick Level 2 Fitness,36,100,2024-02-06 10:36:43
Nick Level 3 Fitness,78,200,2024-02-06 10:36:43
Nick Power House,35,140,2024-02-06 10:36:43
Nick Track,19,100,2024-02-06 10:36:43
Soderholm Family Aquatic Center,,,2024-02-06 10:36:43
Nick Courts 1 & 2,0,250,2024-02-06 10:36:43
Nick Courts 3-6,2,500,2024-02-06 10:36:43
Nick Courts 7 & 8,2,250,2024-02-06 10:36:43
Level 1 Fitness,28,130,2024-02-06 10:36:57
Level 2 Fitness,10,65,2024-02-06 10:36:57
Level 3 Fitness,38,246,2024-02-06 10:36:57
Level 4 Fitness,10,75,2024-02-06 10:36:57
Bakke Track,5,100,2024-02-06 10:36:57
Courts 1&2,,,2024-02-06 10:36:57
Courts 3&4,0,250,2024-02-06 10:36:57
Courts 5-8,2,500,2024-02-06 10:36:57
Orbit,7,46,2024-02-06 10:36:57
Willow Room,0,27,2024-02-06 10:36:57
Cove Pool,,,2024-02-06 10:36:57
Mount Mendota,,,2024-02-06 10:36:57
Skybox Suites,2,18,2024-02-06 10:36:57
SubZero Ice Center,1,300,2024-02-06 10:36:57
Nick Level 1 Fitness,32,150,2024-02-06 10:57:11
Nick Level 2 Fitness,26,100,2024-02-06 10:57:11
Nick Level 3 Fitness,64,200,2024-02-06 10:57:11
Nick Power House,30,140,2024-02-06 10:57:11
Nick Track,7,100,2024-02-06 10:57:11
Soderholm Family Aquatic Center,,,2024-02-06 10:57:11
Nick Courts 1 & 2,0,250,2024-02-06 10:57:11
Nick Courts 3-6,4,500,2024-02-06 10:57:11
Nick Courts 7 & 8,2,250,2024-02-06 10:57:11
Level 1 Fitness,20,130,2024-02-06 10:57:25
Level 2 Fitness,8,65,2024-02-06 10:57:25
Level 3 Fitness,25,246,2024-02-06 10:57:25
Level 4 Fitness,12,75,2024-02-06 10:57:25
Bakke Track,4,100,2024-02-06 10:57:25
Courts 1&2,1,250,2024-02-06 10:57:25
Courts 3&4,0,250,2024-02-06 10:57:25
Courts 5-8,0,500,2024-02-06 10:57:25
Orbit,10,46,2024-02-06 10:57:25
Willow Room,3,27,2024-02-06 10:57:25
Cove Pool,5,116,2024-02-06 10:57:25
Mount Mendota,,,2024-02-06 10:57:25
Skybox Suites,3,18,2024-02-06 10:57:25
SubZero Ice Center,1,300,2024-02-06 10:57:25
Nick Level 1 Fitness,32,150,2024-02-06 11:17:39
Nick Level 2 Fitness,26,100,2024-02-06 11:17:39
Nick Level 3 Fitness,64,200,2024-02-06 11:17:39
Nick Power House,30,140,2024-02-06 11:17:39
Nick Track,7,100,2024-02-06 11:17:39
Soderholm Family Aquatic Center,,,2024-02-06 11:17:39
Nick Courts 1 & 2,0,250,2024-02-06 11:17:39
Nick Courts 3-6,4,500,2024-02-06 11:17:39
Nick Courts 7 & 8,2,250,2024-02-06 11:17:39
Level 1 Fitness,20,130,2024-02-06 11:17:52
Level 2 Fitness,8,65,2024-02-06 11:17:52
Level 3 Fitness,25,246,2024-02-06 11:17:52
Level 4 Fitness,12,75,2024-02-06 11:17:52
Bakke Track,4,100,2024-02-06 11:17:52
Courts 1&2,1,250,2024-02-06 11:17:52
Courts 3&4,0,250,2024-02-06 11:17:52
Courts 5-8,0,500,2024-02-06 11:17:52
Orbit,10,46,2024-02-06 11:17:52
Willow Room,3,27,2024-02-06 11:17:52
Cove Pool,5,116,2024-02-06 11:17:52
Mount Mendota,,,2024-02-06 11:17:52
Skybox Suites,3,18,2024-02-06 11:17:52
SubZero Ice Center,1,300,2024-02-06 11:17:52
Nick Level 1 Fitness,32,150,2024-02-06 11:38:06
Nick Level 2 Fitness,26,100,2024-02-06 11:38:06
Nick Level 3 Fitness,64,200,2024-02-06 11:38:06
Nick Power House,30,140,2024-02-06 11:38:06
Nick Track,7,100,2024-02-06 11:38:06
Soderholm Family Aquatic Center,24,230,2024-02-06 11:38:06
Nick Courts 1 & 2,0,250,2024-02-06 11:38:06
Nick Courts 3-6,4,500,2024-02-06 11:38:06
Nick Courts 7 & 8,2,250,2024-02-06 11:38:06
Level 1 Fitness,20,130,2024-02-06 11:38:19
Level 2 Fitness,8,65,2024-02-06 11:38:19
Level 3 Fitness,25,246,2024-02-06 11:38:19
Level 4 Fitness,12,75,2024-02-06 11:38:19
Bakke Track,4,100,2024-02-06 11:38:19
Courts 1&2,1,250,2024-02-06 11:38:19
Courts 3&4,0,250,2024-02-06 11:38:19
Courts 5-8,0,500,2024-02-06 11:38:19
Orbit,10,46,2024-02-06 11:38:19
Willow Room,3,27,2024-02-06 11:38:19
Cove Pool,5,116,2024-02-06 11:38:19
Mount Mendota,,,2024-02-06 11:38:19
Skybox Suites,3,18,2024-02-06 11:38:19
SubZero Ice Center,1,300,2024-02-06 11:38:19
Nick Level 1 Fitness,32,150,2024-02-06 11:58:33
Nick Level 2 Fitness,26,100,2024-02-06 11:58:33
Nick Level 3 Fitness,64,200,2024-02-06 11:58:33
Nick Power House,30,140,2024-02-06 11:58:33
Nick Track,7,100,2024-02-06 11:58:33
Soderholm Family Aquatic Center,24,230,2024-02-06 11:58:33
Nick Courts 1 & 2,0,250,2024-02-06 11:58:33
Nick Courts 3-6,4,500,2024-02-06 11:58:33
Nick Courts 7 & 8,2,250,2024-02-06 11:58:33
Level 1 Fitness,20,130,2024-02-06 11:58:47
Level 2 Fitness,8,65,2024-02-06 11:58:47
Level 3 Fitness,25,246,2024-02-06 11:58:47
Level 4 Fitness,12,75,2024-02-06 11:58:47
Bakke Track,4,100,2024-02-06 11:58:47
Courts 1&2,1,250,2024-02-06 11:58:47
